2,20000,17050963,
2,40000,51951994,
2,80000,114061033,
2,160000,461803401,
2,320000,315054634,
2,640000,296727304,
2,1280000,688673293,
4,20000,5704060,
4,40000,9014108,
4,80000,21879675,
4,160000,47453187,
4,320000,106377176,
4,640000,247523054,
4,1280000,559348650,
6,20000,4724975,
6,40000,8481861,
6,80000,21545371,
6,160000,51136395,
6,320000,113695205,
6,640000,248285135,
6,1280000,543493409,
8,20000,4664858,
8,40000,9914382,
8,80000,20970603,
8,160000,50667929,
8,320000,109843379,
8,640000,240778327,
8,1280000,543813418,
10,20000,3866122,
10,40000,9069092,
10,80000,20005813,
10,160000,46264429,
10,320000,112902333,
10,640000,237168065,
10,1280000,550911143,
12,20000,4235248,
12,40000,10236223,
12,80000,19664179,
12,160000,48017691,
12,320000,95690449,
12,640000,239276159,
12,1280000,547807102,
14,20000,4939046,
14,40000,8556639,
14,80000,20354046,
14,160000,51736822,
14,320000,106837211,
14,640000,253016341,
14,1280000,541010324,
16,20000,4268240,
16,40000,9096218,
16,80000,19979788,
16,160000,43237366,
16,320000,93658234,
16,640000,256062832,
16,1280000,516666624,
18,20000,4374176,
18,40000,8696666,
18,80000,19931769,
18,160000,46075283,
18,320000,103418661,
18,640000,235719048,
18,1280000,541030484,
20,20000,4063698,
20,40000,10175008,
20,80000,20507269,
20,160000,43440808,
20,320000,96647907,
20,640000,253678717,
20,1280000,539239466,
22,20000,3648018,
22,40000,8356130,
22,80000,21308572,
22,160000,43588166,
22,320000,110005400,
22,640000,225104534,
22,1280000,529923679,
24,20000,4701515,
24,40000,8416613,
24,80000,22356937,
24,160000,51397020,
24,320000,103232080,
24,640000,236866019,
24,1280000,519158874,
26,20000,4338253,
26,40000,8024026,
26,80000,20472080,
26,160000,46000871,
26,320000,103722906,
26,640000,233729720,
26,1280000,539987251,
28,20000,4491841,
28,40000,8253493,
28,80000,21016423,
28,160000,41384399,
28,320000,101485050,
28,640000,257817194,
28,1280000,557258884,
30,20000,3893980,
30,40000,9074591,
30,80000,20380805,
30,160000,45684529,
30,320000,96544903,
30,640000,235212094,
30,1280000,543038141,
32,20000,4427693,
32,40000,8788673,
32,80000,21407177,
32,160000,41966498,
32,320000,97517390,
32,640000,238553300,
32,1280000,517879208,
34,20000,3759086,
34,40000,8868583,
34,80000,19840128,
34,160000,45511146,
34,320000,100303623,
34,640000,245043634,
34,1280000,536771409,
36,20000,4937947,
36,40000,8971953,
36,80000,18285175,
36,160000,48116663,
36,320000,100598338,
36,640000,240275039,
36,1280000,521974431,
38,20000,4576150,
38,40000,9821276,
38,80000,18598218,
38,160000,43581934,
38,320000,100158831,
38,640000,247442777,
38,1280000,517464261,
40,20000,4269706,
40,40000,10966780,
40,80000,21899836,
40,160000,42765235,
40,320000,107952656,
40,640000,237731103,
40,1280000,532865332,
42,20000,4193095,
42,40000,9882125,
42,80000,20733438,
42,160000,48396349,
42,320000,99022858,
42,640000,232829080,
42,1280000,516709145,
44,20000,3824700,
44,40000,11471901,
44,80000,24428009,
44,160000,43570571,
44,320000,99525047,
44,640000,236927601,
44,1280000,530936487,
46,20000,3950797,
46,40000,9217183,
46,80000,24944494,
46,160000,48505585,
46,320000,105504761,
46,640000,236930533,
46,1280000,745672102,
48,20000,4571752,
48,40000,8726357,
48,80000,19394023,
48,160000,49371036,
48,320000,135126209,
48,640000,374640266,
48,1280000,678609721,
50,20000,4228284,
50,40000,10792663,
50,80000,20269371,
50,160000,49759224,
50,320000,110796439,
50,640000,283106621,
50,1280000,568800798,
52,20000,3786578,
52,40000,11669478,
52,80000,18377182,
52,160000,42731145,
52,320000,104406177,
52,640000,228550943,
52,1280000,509920797,
54,20000,4490009,
54,40000,8991014,
54,80000,23349585,
54,160000,44466446,
54,320000,107458166,
54,640000,216359482,
54,1280000,520923500,
56,20000,3796108,
56,40000,10431967,
56,80000,22973127,
56,160000,45249787,
56,320000,109796459,
56,640000,276290048,
56,1280000,566888815,
58,20000,3758719,
58,40000,10508945,
58,80000,19464036,
58,160000,41358740,
58,320000,94335639,
58,640000,221698447,
58,1280000,551143176,
60,20000,4234516,
60,40000,11242800,
60,80000,20788055,
60,160000,47493143,
60,320000,100770989,
60,640000,235768168,
60,1280000,569402692,
62,20000,4772261,
62,40000,9832639,
62,80000,21407178,
62,160000,42513408,
62,320000,108295025,
62,640000,261721804,
62,1280000,544885976,
64,20000,3866488,
64,40000,9104649,
64,80000,20323989,
64,160000,45901168,
64,320000,107017558,
64,640000,261793650,
64,1280000,543722511,
66,20000,4832011,
66,40000,9662188,
66,80000,21272283,
66,160000,43716095,
66,320000,99648578,
66,640000,247527819,
66,1280000,544508051,
68,20000,3844495,
68,40000,9377736,
68,80000,21146919,
68,160000,44678319,
68,320000,118688136,
68,640000,247194248,
68,1280000,549861312,
70,20000,4020077,
70,40000,11305116,
70,80000,22099245,
70,160000,48086606,
70,320000,105530786,
70,640000,248058966,
70,1280000,549940122,
72,20000,3926238,
72,40000,9776555,
72,80000,22316615,
72,160000,47032009,
72,320000,113913675,
72,640000,255052222,
72,1280000,560001129,
74,20000,4500640,
74,40000,10499414,
74,80000,20756165,
74,160000,47883530,
74,320000,102837294,
74,640000,247916008,
74,1280000,546857709,
76,20000,4048669,
76,40000,10241355,
76,80000,21928061,
76,160000,49187756,
76,320000,107885942,
76,640000,246381216,
76,1280000,562149178,
78,20000,4370143,
78,40000,9399364,
78,80000,18825120,
78,160000,53613982,
78,320000,113804440,
78,640000,249855484,
78,1280000,570973407,
80,20000,3982688,
80,40000,9311022,
80,80000,23426929,
80,160000,43967190,
80,320000,104524209,
80,640000,254116391,
80,1280000,561005873,
82,20000,4187229,
82,40000,10624412,
82,80000,19748854,
82,160000,49888987,
82,320000,120974379,
82,640000,258101645,
82,1280000,584890639,
84,20000,4254676,
84,40000,11160325,
84,80000,20196792,
84,160000,47172768,
84,320000,109212161,
84,640000,248572886,
84,1280000,641566507,
86,20000,5644310,
86,40000,11648217,
86,80000,20695682,
86,160000,55005083,
86,320000,136122156,
86,640000,263519054,
86,1280000,616845982,
88,20000,4047203,
88,40000,10988040,
88,80000,24549340,
88,160000,49753725,
88,320000,117150045,
88,640000,259258512,
88,1280000,573218595,
90,20000,4279236,
90,40000,9298193,
90,80000,20891059,
90,160000,48774274,
90,320000,112389147,
90,640000,250833835,
90,1280000,604735898,
92,20000,4110251,
92,40000,10245021,
92,80000,30156994,
92,160000,57020070,
92,320000,117674594,
92,640000,246282610,
92,1280000,538764402,
94,20000,5381852,
94,40000,13181909,
94,80000,19351868,
94,160000,47384274,
94,320000,109322496,
94,640000,251441960,
94,1280000,622205841,
96,20000,5490721,
96,40000,9194823,
96,80000,22051592,
96,160000,57309286,
96,320000,108741130,
96,640000,261539624,
96,1280000,580852232,
98,20000,4036939,
98,40000,9725604,
98,80000,21744414,
98,160000,48802133,
98,320000,107314107,
98,640000,257980313,
98,1280000,567032507,
100,20000,4274471,
100,40000,10633942,
100,80000,22745125,
100,160000,46135400,
100,320000,96664036,
100,640000,300403914,
100,1280000,584092268,
102,20000,4175866,
102,40000,10387613,
102,80000,22458475,
102,160000,47773928,
102,320000,128778467,
102,640000,263677042,
102,1280000,541689562,
104,20000,4874532,
104,40000,12403333,
104,80000,23400904,
104,160000,47313161,
104,320000,116316118,
104,640000,245290330,
104,1280000,562235686,
106,20000,5812195,
106,40000,9523628,
106,80000,21713623,
106,160000,55295766,
106,320000,114954709,
106,640000,246855179,
106,1280000,575667590,
108,20000,5353261,
108,40000,10099495,
108,80000,21097800,
108,160000,47914321,
108,320000,106645133,
108,640000,252236665,
108,1280000,603917733,
110,20000,4293898,
110,40000,9373338,
110,80000,20915985,
110,160000,53670066,
110,320000,119228447,
110,640000,265657573,
110,1280000,569126671,
112,20000,4763830,
112,40000,10817222,
112,80000,21691629,
112,160000,51697600,
112,320000,115512616,
112,640000,259660630,
112,1280000,565489284,
114,20000,4499906,
114,40000,9598040,
114,80000,24410047,
114,160000,50630174,
114,320000,136441431,
114,640000,263241567,
114,1280000,573110092,
116,20000,4456286,
116,40000,10067238,
116,80000,20176265,
116,160000,54328044,
116,320000,130053367,
